"name","web_url","desc"
"21st-century-fox","https://www.21cf.com/","We foster a culture of originality and innovation  to make 21st Century Fox a place where fresh  ideas, new approaches and compelling stories  can take root. We are bold because we believe  audiences always want, and deserve, more  choice and better experiences. Our core video brands, and the breakout  content that powers them, are indispensable  for customers and distributors around the  globe. 21st Century Fox is well positioned to  build on our leadership and continue driving  innovation for customers the world over  We foster a culture of originality and innovation  to make 21st Century Fox a place where fresh  ideas, new approaches and compelling stories  can take root. We are bold because we believe  audiences always want, and deserve, more  choice and better experiences. Our core video brands, and the breakout  content that powers them, are indispensable  for customers and distributors around the  globe. 21st Century Fox is well positioned to  build on our leadership and continue driving  innovation for customers the world over.  "
"3m","http://www.3m.com/","Our beginnings were humble rocks, but after more than 100 years, we know how to rock science. Every day at 3M, we explore, we connect and we invent. And we've opened the door to show the world the unique, multi-dimensional ways 3M science can touch your life."
"abbott-labs","http://www.abbott.com/","For more than 125 years, we've adapted to an increasingly complex healthcare environment by keeping our focus where it belongs--on helping people achieve their best possible health, in all stages of life, around the world. And that's a goal we'll continue to pursue far into the future.    At Abbott, we believe that innovative, responsible and sustainable business plays an important role in building a healthy, thriving society. We strive to foster economic, environmental and social well-being through our operations and in our work with others.  It starts with responsible business. Every day, people around the world depend on our products to live healthier lives. That's why we run our business the right way, for the long term  _ for the benefit of the many people we serve.    But that's just the beginning. We see potential everywhere.  By building a more inclusive business, we aim to reach more people, in more places, than ever before. From strengthening the capacity of suppliers, to creating products that address local-country health needs, we are always finding new opportunities to expand the positive impact of our people, products and business in communities around the world.  We can't tackle every challenge. But what we can do is address the critical issues that best match our scientific expertise, business acumen and unique resources. With ingenuity and compassion, we can work together to find the answers.  Knowledge and optimism are resources that grow in value the more they are shared. Healthy economies contribute to healthy communities. Opportunity is contagious.  At Abbott, we call it  _Finding the Upside.     At Abbott, we believe that our success and the success of the communities we serve are intertwined. Applying our expertise to the most pressing health challenges is how we develop new markets, fulfill the potential of our communities and lay the foundation for progress."
"abbvie-inc","https://www.abbvie.com/","Research and innovation are the cornerstones of our business. We advance leading-edge science through a dynamic and collaborative approach. This enables us to find better solutions for treating the world's most challenging diseases. We focus on discovering, developing and delivering drugs in therapeutic areas where we have proven expertise--and can make an impact.     We are a diverse, inclusive organization with people who reflect the thousands of communities we serve around the world. For all of us, working at AbbVie is more than a job. It's a purpose that leads to better lives for other people, across the world. When the stakes are as high as a patient's well-being, the best ideas must rise to the top, no matter where they begin.    Our employees are scientists, researchers, communicators, manufacturing specialists and regulatory experts located around the globe. We're constantly working to create solutions that go beyond treating the illness to have a positive impact on patients' lives, on societies--and on science itself.    We pledge to cultivate an ethical, transparent and inclusive culture. This includes focusing on the health, welfare and financial well-being of our employees around the world.    We're constantly finding new ways to address patients' most serious health issues. We concentrate our efforts on a core set of therapeutic areas--ones where we've proven our expertise, and where we feel we can have an even greater impact on disease and how it is managed."
"abc","http://abc.go.com/"," The ABC Television Network is home to the Emmy-winning ""Modern Family"" and comedy favorite ""The Middle""; reality phenomenon ""Shark Tank"" and long-running hit ""Dancing with the Stars""; ""General Hospital,"" along with daytime talk shows ""The View"" and ""The Chew""; and late-night talk show ""Jimmy Kimmel Live!"" The network also boasts some of television's most prestigious awards shows, including The Oscars, the Country Music Awards, The American Music Awards and The Billboard Music Awards.  ABC Studios is a leader in the development, production and strategic distribution of entertainment content and is the key content provider for the ABC Entertainment Group. The studio's current hits include ""Grey's Anatomy,"" ""Marvel's Agents of S.H.I.E.L.D.,"" ""Designated Survivor,"" ""Once Upon a Time,"" ""Speechless,"" ""Scandal,"" ""American Crime"" and more series that air on other networks."
"abm","http://www.abm.com/","A Well-Run Facility Produces Great Customer Experiences You Can Rely on ABM to Deliver Exceptional Facility Services Your Facility Impacts Your Customers' Experience  Whether your customer is a student, employee, patient, tenant, traveler or guest, they will form an opinion about your company based on their experience at your facility.  Here's an example in Aviation, one of the many industries we serve Your Customers Have High Expectations  Your customers expect quick and hassle-free parking, to be greeted courteously, and to enter a clean, comfortable, and well functioning building.  When this occurs, they will leave with a positive experience. Your Customers' Experience is Important to Us  We are dedicated to delivering facility services that improve customer experiences and provide a great, long-lasting impression of your company and facility.  Through engaged employees, who are focused on our mission:  To make a difference, every person, every day  Since 1909, we've been dedicated to providing exceptional customer experiences and extending the life of building assets.  We serve thousands of clients across the U.S. and in more than 20 international locations.  Through Our Comprehensive Facility Services  If you would like to speak with a facility solutions expert or have other inquiries, please click below:                Building Value With Integrated Facilities Solutions  ABM (NYSE: ABM) is a leading provider of facility solutions with revenues of approximately $5.1 billion and over 100,000 employees in 300+ offices throughout the United States and various international locations. ABM's comprehensive capabilities include janitorial, electrical & lighting, energy solutions, facilities engineering, HVAC & mechanical, landscape & turf, mission critical solutions and parking, provided through stand-alone or integrated solutions. ABM provides custom facility solutions in urban, suburban and rural areas to properties of all sizes     from schools and commercial buildings to hospitals, data centers, manufacturing plants and airports. ABM Industries Incorporated, which operates through its subsidiaries, was founded in 1909. For more information, visit www.abm.com.   ABM (NYSE: ABM) is a leading provider of facility solutions with revenues of approximately $5.1 billion and over 100,000 employees in 300+ offices throughout the United States and various international locations.  ABM's comprehensive capabilities include janitorial, electrical & lighting, energy solutions, facilities engineering, HVAC & mechanical, landscape & turf, mission critical solutions and parking, provided through stand-alone or integrated solutions.  ABM provides custom facility solutions in urban, suburban and rural areas to properties of all sizes     from schools and commercial buildings to hospitals, data centers, manufacturing plants and airports. ABM Industries Incorporated, which operates through its subsidiaries, was founded in 1909.   Since 1909, we have been dedicated to extending the life of your building assets and providing an exceptional experience for your customers.  We serve thousands of clients across the U.S. and in more than 20 international locations.  Our Passion Is Building Value, for You and Your Customers  Each and every day, our mission is to build value for your business by helping you decrease operating costs, reduce customer complaints, and improve your customer's overall experience.  We Live by Our Core Values  They're not philosophical. They're how we do business.  Our employees put them into action every day.   We Have the Greatest Respect for Our Employees  We employ more than 100,000 skilled and hardworking people, and we have the greatest respect for them. We meet and exceed legal, union, and staff demands for safe working conditions and career growth.  And, we treat everyone justly and fairly because happy employees result in happy clients. We Deliver Customized Solutions  Generic facility services don't work because you have unique needs.  That's why we start with understanding your challenges and then leverage our deep industry expertise to provide you with customized facility solutions.  In 1909, ABM began as a modest window cleaning business. Through organic growth and strategic acquisitions, we've become much more.  We've expanded our platform with integrated services and new core capabilities in energy efficiency, healthcare support services, aviation services, mission-critical solutions, and more. Award-Winning Technology  We're leveraging our award-winning technology to drive efficiencies through workforce automation, enabling 100% paperless operations, driving innovations in automated parking collections, and much more.  Service Quality Driven by Training & Technology  What can you expect from ABM? Excellence.  Service is our product, and we put our hearts into it. Some companies give clients only what's contractually required. But that's not us. Going    above and beyond   might sound like a clich, but it's what we do. Technology Ensures Best Practices  Our latest    operations-on-the-go   technology, ABM MPower  , allows our employees to manage janitorial, facility engineering, and parking services with greater efficiency, and to analyze trends that lead to process and quality improvements.   Our Passion Is Building Value For You & Your Customers  Today's ABM is about Building Value      encompassing the thousands of physical assets we service and maintain as well as the value we create by improving your customer's experience in your facilities."
"accenture","https://www.accenture.com/us-en/new-applied-now","The people to lead. The knowledge to innovate. The vision to transform. WHAT WE DO Accenture solves our clients' toughest challenges by providing unmatched services in strategy, consulting, digital, technology and operations. We partner with more than three-quarters of the Fortune Global 500, driving innovation to improve the way the world works and lives. With expertise across more than 40 industries and all business functions, we deliver transformational outcomes for a demanding new digital world. Accenture Strategy Shapes the future at the intersection of business and technology Accenture Consulting Transforms businesses through industry expertise and insights Accenture Digital Creates value through new experiences, new intelligence and new connections Accenture Technology Powers businesses with cutting-edge solutions using established and emerging technologies Accenture Operations Delivers outcomes through infrastructure, security, cloud and business process services WHAT SETS US APART, BY THE NUMBERS  WE SERVE CLIENTS IN MORE THAN 120  countries  WE WORK ACROSS MORE THAN 40  industries  OF OUR TOP 100 CLIENTS 98  have worked with us for at least 10 years  WE HAVE MADE 14  consecutive appearances in Fortune's ""World's Most Admired Companies"" list  WE HAVE 5K  patents and patent pending applications in 44 countries learn about our history of innovation  In today's business environment, companies need to continually reinvent themselves. At Accenture, we take an innovation-led approach to help clients ""imagine and invent"" their future. Through the Accenture Innovation Architecture, we combine our capabilities to invent, develop, and deliver disruptive innovations for clients, and to scale them faster.  Of all of our accomplishments, we take pride in our business performance, diversity and corporate citizenship. We're honored to be recognized for our success in these categories. Global Leader  Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions     underpinned by the world's largest delivery network     Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With approximately 401,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. "
"ace","http://www.acehardware.com/home/index.jsp","We are your local hardware store and we are a part of your community. Over 4,600 of Ace's 4,700 stores around the globe are independently owned and operated by local entrepreneurs. These hard working men and women are part of the fabric of your community. They are small business owners who are local and loyal...just like it ought to be. While others have become large and impersonal, at Ace, we've remained small and very personal. That's why we say a visit to Ace, is like a visit to your neighbor."
"actavis","http://www.tevapharm.com","Building on its strong global footprint, size and scale, Teva is reaffirming its commitment to place people at the center of our strategy, and enable as many as possible to live better, healthier days.     Teva is committed to increasing access to high-quality healthcare for people across the globe, at every stage of life. We do this by developing, producing and marketing affordable generic drugs as well as innovative and specialty pharmaceuticals and active pharmaceutical ingredients."
"activision-blizzard","http://www.activisionblizzard.com/","Our road to victory begins, as it always has, with talent. And at Activision Blizzard, we pride ourselves on not only attracting the best and brightest talent, but also on getting the best out of that talent once they are here. We do this by bringing world-class business processes and rigor to an industry of pure passion. By combining these two seemingly opposing forces, we have been able to achieve both creative excellence and commercial success.     The result of this philosophy obviously has great benefit to our employees in that, no matter what project you are working on at Activision Blizzard, it stands a solid chance of becoming a world-beater that makes a huge impact on popular culture. There are no short straws here. If we're making it, we're putting industry-leading resources, technology, and marketing might behind it. If you asked any employee at Activision Blizzard what our core business is, they could justifiably say, ""We make blockbusters."""
"adidas","http://www.adidas-group.com","At the adidas Group, our love for sport drives who we are and what we do. Every day.     The brands of the adidas Group complement each other in a unique way to help athletes perform better, play better, feel better. Our products break records, set trends, make history. Every day. All over the world. Welcome to the adidas Group.    It is not only about faster shoes and fashion statements. Just as a shoe is more than padding and foam, there is more to us than just the product. Everything we do is bound by one simple thought: we strive to help you perform at your best. Your success is our ambition. Your defeat spurs us on to be better.    Our brands complement each other like the skills of an exceptionally gifted decathlete.    Our consumers' brand love is based on our employees' extraordinary passion for a sporting lifestyle. With dedication, commitment and team spirit, we continuously innovate to establish new benchmarks in everything we do. Shaping the sporting goods industry sustainably is more than a job. It's our impulse, an attitude that is truly dear to our hearts. It drives us.      Employing more than 55,000 people in over 160 countries, we produce more than 778 million product units every year and generate sales of __ 17 billion (all figures relate to 2015). These numbers alone can easily suggest that our Group is quite a complex organisation. True. But we keep things simple, lean and fast. And we will use this approach now to tell you what our company is all about. Ready ... set, go.    We embrace a multi-brand strategy    We think you deserve choice. We believe no one should be reduced to just one of many facets and talents. No matter whether you are an athlete looking for the best equipment, or a fashionista searching for the next trend, or both  _ we want to engage with you in a long-lasting relationship. Our multi-brand strategy enables us to do just that because it allows us to tackle opportunities from several perspectives, as both a mass and a niche player, always providing distinct and relevant products. In this way, our brands and their sub-brands all keep their unique identity."
"adp","https://www.adp.com/","From our first account in Paterson, N.J., to the more than 650,000 clients we serve in more than 110 countries, ADP helps organizations of all types and sizes unlock their business potential. For 60 years, we've led the way in defining the future of business outsourcing solutions. And we remain one of the world's most innovative, diverse and admired companies to work for today.    We are a comprehensive global provider of cloud-based Human Capital Management (HCM) solutions that unite HR, payroll, talent, time, tax and benefits administration, and a leader in business outsourcing services, analytics and compliance expertise. Our unmatched experience, deep insights, and cutting-edge technology have transformed human resources from a back-office administrative function to a strategic business advantage."
"aecom-technology","http://www.aecom.com/","We are a global network of experts working with clients, communities and colleagues to develop and implement innovative solutions to the world's most complex challenges.  We connect expertise across services, markets, and geographies to deliver transformative outcomes. Worldwide, we design, build, finance, operate and manage projects and programs that unlock opportunities, protect our environment and improve people's lives.  We are AECOM. Built to deliver a better world."
"aes","http://www.aessuccess.org/","American Education Services (AES) was established by the Pennsylvania Higher Education Assistance Agency (PHEAA) to guarantee and service a variety of Federal Family Education Loan Program (FFELP) and private (alternative) student loan products for our lending partners through out the nation. PHEAA conducts its student loan servicing activities nationally as AES and FedLoan Servicing.    AES is a national leader in providing quality customer service to millions of student loan borrowers through its highly trained and experienced customer service representatives."
"aetna","https://www.aetna.com/","As a health care leader, we believe that our corporate responsibility starts with helping people live healthier lives. And that means using our resources to make the communities and world we live in better places.    We are committed to reducing our carbon footprint. Recycling programs, reducing energy use and using sustainable building practices are part of our robust efforts to create a healthier environment.    To us, a better health care system starts with a simpler process, one that lets you see behind the scenes -- to find out what a procedure costs before you get it, for example.    A better health care system is about more than saving money, of course. It's about keeping you healthy. We're working with doctors, hospitals and health networks to align the economic incentives so everyone's focus stays on your health.    Finally, we think a better system is one that is connected. The right technology connects you and your health care team seamlessly. And it puts valuable information where it needs to be so you get the right care at the right time.    Everything we do at Aetna starts with our values -- a clear, strongly held set of core beliefs that reflect who we are and what you can expect from us. We created our core values together, as a company and with guidance from our customers. Our values carry through our thoughts and actions every day, inspire innovation in our products and services, and drive our commitment to excellence in all we do.    Integrity  _ Do the right thing for the right reason.  Excellence  _ We strive to deliver the highest quality and value possible through simple, easy and relevant solutions.  Caring  _ We listen to and respect our customers and each other so we can act with insight, understanding and compassion.  Inspiration  _ We inspire each other to explore ideas that can make the world a better place."
"aflac","https://www.aflac.com/","A Fortune 500 company that provides financial protection to more than 50 million people worldwide. When health changes for you or  loved one, it can change everything. Aflac can help make sure you can keep living the life you love. Aflac pays you and your family money for the expenses that major medical doesn't cover. Also employers can build a comprehensive health care benefits package with increasing costs, and brokers can offer clients better benefit options with Aflac supplemental insurance policies."
"agco-corporation","http://www.agcocorp.com","We are a global leader in the design, manufacture and distribution of agricultural solutions. We work tirelessly to help make today's farms more productive and more profitable. As the world of agriculture changes, so do we. Brazenly. We do it for the farmers. For the people working for them. For ourselves. For the future. We are Leading the Way.    Making machines and equipment that respond to the world's ever-changing demands for food and fuel is what AGCO innovation is all about. Hybrids, telemetry-based tracking systems, flexible technologies that respond to regional farming variances and so much more. The future is happening now. And AGCO is at the forefront of it."
"aig","http://www.aig.com/","Innovation doesn't grow in a box. But it does thrive in safe places. At AIG, we provide the safety that gives companies and individuals the freedom to grow. We work to pinpoint risks and prevent them from becoming losses so our clients are free to create the future; we help our clients identify unseen risks--and stop accidents before they happen.  For nearly one hundred years, our organization has faced and managed complex risks; and provided the risk expertise and financial strength that empowers 90 million clients in more than 100 countries. Today, our organization is evolving to better meet our clients' needs.  We're simplifying our structure so that we work more closely with clients, provide greater transparency, and deliver value faster and more efficiently. As One AIG, we're becoming leaner, more focused, and more profitable. We recognize the constant need for change, and we're up to the challenge.  The world is changing faster than ever. What was true yesterday may not be true tomorrow. But with AIG's risk expertise, you'll be more prepared, with less fear for the future. We're ready to help you seize new opportunities."
"air-products--chemicals","http://www.airproducts.com/","Air Products touches the lives of consumers around the globe in positive ways every day. With approximately 16,000 employees and operations in 50 countries, we serve customers across a wide range of industries from food and beverage to medical, energy and transportation. We supply a unique portfolio of atmospheric and process gases, equipment and services.Founded in 1940, Air Products has built a reputation for its innovative culture, operational excellence and commitment to safety and the environment. Our aim is to develop lasting relationships with our customers and communities based on human qualities: understanding their needs, doing business with integrity and honesty, and demonstrating a passion for exceeding expectations."
"airbnb","https://www.airbnb.com/","Founded in August of 2008 and based in San Francisco, California, Airbnb is a trusted community marketplace for people to list, discover, and book unique accommodations around the world -- online or from a mobile phone or tablet.    Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to unique travel experiences, at any price point, in more than 65,000 cities and 191 countries. And with world-class customer service and a growing community of users, Airbnb is the easiest way for people to monetize their extra space and showcase it to an audience of millions."
