,,,,,,,,,,
Red,Green,Blue,Color,Dictionary,,Red,Green,Blue,Color,Dictionary
3,3,3,,black,,203,201,198,,grey
21,18,19,,,,179,176,175,,
38,32,33,,,,149,161,169,,
8,72,140,,blue_dark,,139,139,142,,
12,58,104,,,,126,123,123,,
4,24,79,,,,73,67,60,,grey_dark
8,28,136,,,,101,95,98,,
152,193,219,,blue_light,,238,121,38,,orange
11,161,219,,,,227,8,140,,pink
77,156,202,,blue_med,,44,60,136,,purple
14,121,189,,,,232,28,47,,red
12,92,165,,,,200,21,41,,
57,110,148,,,,228,55,55,,
147,124,49,,brown,,231,5,14,,
171,151,143,,,,149,24,45,,red_dark
223,176,143,,,,131,11,14,,
10,107,66,,green_dark,,253,253,253,,white
8,152,86,,,,231,190,65,,yellow
128,190,60,,green_light,,250,219,14,,
69,158,64,,,,242,167,24,,