name,source,cb
21st-century-fox,BD,21st-century-fox
3m,BD,3m
abbott-labs,BD,abbott
abbvie-inc,BD,abbvie
activision-blizzard,BD,activision
adp,BD,adp
advance-auto-parts,BD,advance-auto-parts
aes,F500,aes
aetna,BD,aetna
aflac,BD,aflac
air-products--chemicals,F500,air-products
airbnb,BD,airbnb
airgas,F500,airgas-incorporated
allergan,BD,allergan
alphabet,F500,alphabet
amazon,BD,amazon
american-electric-power-company,F500,american-electric-power
american-financial-group,F500,american-financial-group
american-international-group,F500,american-international-group
amerisourcebergen,BD,amerisourcebergen-corporation
amphenol-corporation,F500,amphenol-corporation
anadarko,BD,anadarko-petroleum-corporation
anthem,BD,anthem-3
apache,BD,apache
apple,BD,apple
arrow-electronics,BD,arrow-electronics
ashland,F500,ashland-inc
avery-dennison-corporation,F500,avery-dennison
avis-budget-group,BD,avis-budget-group
avnet,F500,avnet
avon,BD,avon
baker-hughes,BD,baker-hughes
ball-corp,BD,ball-corporation-altrista
barnes-noble,F500,barnes-noble
baxalta-incorporated,F500,baxalta
baxter-international,F500,baxter-international
berkshire-hathaway,BD,berkshire
biogen-idec-inc,BD,biogen-idec
blackstone,BD,blackstone-technology-group
bnsf-railway,BD,bnsf-railway-company
boston-scientific-corp,BD,boston-scientific
bristol-myers-squibb,BD,bristol-myers-squibb
broadcom,BD,broadcom
cabelas-inc,BD,cabelas
cablevision-systems-corporation,F500,cablevision-systems
cadillac,BD,cadillac
calpine-corporation,F500,calpine
calvin-klein,BD,calvin-klein
campbells,BD,campbellsoup-com
cardinal-health,BD,cardinal-health
carnival,BD,carnival-cruise-lines
caseys-general,BD,caseys-general-stores
caterpillar,BD,caterpillar-inc
celgene,BD,celgene
centerpoint-energy,F500,centerpoint-energy
centurylink,BD,centurylink
cerner-corp,BD,cerner-corporation
ch2m-hill-companies,F500,ch2m-hill
charles-schwab,BD,charles-schwab
charter-communications,F500,charter-communications
chase,BD,chase-corporation
chevrolet,BD,chevrolet
chs,F500,chs-community-health-systems
chubb,BD,chubb-corporation
cigna,BD,cigna
cincinnati-financial-corporation,F500,cincinnati-financial
cintas-corp,BD,cintas
cisco,BD,cisco
comcast-corporation,F500,comcast
corning,BD,corning
costco,BD,costco
csc,BD,csc
csx,BD,csx-corporation
cummins,BD,cummins
danaher,BD,danaher
davita-healthcar,BD,davita-healthcare-partners
dean-foods-company,F500,dean-foods
dell,BD,dell
deloitte,BD,deloitte
directv,BD,directv
dollar-tree,BD,dollar-tree-stores-inc
dover-corporation,F500,dover
dte-energy-co,BD,dte-energy
eastman-chemical-company,F500,eastman-chemical-company
emcor-group,F500,emcor-group
emerson,BD,emerson
energy-future-holdings-corp,F500,energy-future-holdings
entergy,BD,entergy-corporation
envision-healthcare-holdings,F500,envision-healthcare
eog-resources,BD,eog-resources
equinix,BD,equinix
expedia.com,BD,expedia
expeditors-international-of-washington,F500,expeditors-international
express-scripts,BD,express-scripts
exxonmobil,BD,exxonmobil
facebook,BD,facebook
family-dollar,BD,family-dollar-stores
fastenal-co,BD,fastenal-company
fedex,BD,fedex
fidelity-national,BD,fidelity-national-financial
first-american-financial-corporation,F500,first-american
first-data-corp,BD,first-data-corporation
firstenergy-corp,BD,firstenergy-corp
fiserv-inc,BD,fiserv
fluor,BD,fluor-corporation
ford,BD,ford
franklin-resources,F500,franklin-resources
freddie-mac,F500,freddie-mac
freeport-mcmoran,BD,freeport-mcmoran-copper-gold
gamestop,BD,gamestop
gap,BD,gap
garmin,BD,garmin
general-dynamics,BD,general-dynamics
gilead-sciences,BD,gilead-sciences
gillette,BD,gillette-company
google,BD,google
graybar-electric-company,F500,graybar
grey-goose,BD,grey
hanesbrands,F500,hanesbrands
harman-international-industries,F500,harman-international
hbo,BD,hbo
henry-schein-inc,BD,henry-schein-inc
hess,BD,hess-corporation
hewlett-packard-enterprise,BD,hewlett-packard-enterprise
hollyfrontier-corporation,F500,hollyfrontier-corporation
honeywell,BD,honeywell
hormel,BD,hormel-foods
hrg-group,F500,hrg-group
hyatt,BD,hyatt
ibm,BD,ibm
ingram-micro,F500,ingram-micro
insight-enterprises,F500,insight
intel,BD,intel
international-paper,BD,international-paper
intl-fcstone,F500,intl-fcstone
iron-mountain-inc,BD,iron-mountain
jabil,BD,jabil
jack-in-the-box,BD,jack-in-the-box
jacobs-engineering,BD,jacobs-engineering-group
jarden-corporation,F500,jarden
johnson-controls,BD,johnson-controls
johnson-johnson,BD,johnson-johnson
kelly-services,F500,kelly-services
kitchenaid,BD,kitchenaid
kraft,BD,kraft
lam-research-corporation,F500,lam-research
lansing-trade-group,F500,lansing-trade-group
lennar,BD,lennar-corporation
lenovo,IB,lenovo
leucadia-national-corporation,F500,leucadia-national
liberty-interactive-corporation,F500,liberty-interactive-corporation
lithia-motors,F500,lithia-motors
live-nation-entertainment,F500,live-nation-entertainment
lockheed-martin,BD,lockheed-martin
lowes,BD,lowes
marathon-petroleum,BD,marathon-petroleum
marriott,BD,marriott-international
mars,BD,mars
marshalls,BD,marshalls
mattel,F500,mattel
mcdonalds,BD,mcdonalds
mclane-company,BD,mclane
metlife,BD,metlife
mgm-resorts-international,F500,mgm-resorts-international
michaels,BD,michaels-stores
minute-maid,BD,minute-maid
mohawk-industries,F500,mohawk-industries
moodys,BD,moodys
murphy-usa,F500,murphy-usa
navient-corporation,F500,navient-corporation
navistar-international-corporation,F500,navistar
ncr-corporation,F500,ncr
netapp,BD,netapp
netflix,BD,netflix
new-york-life-insurance-company,F500,new-york-life-insurance-co
newmont-mining-corporation,F500,newmont-mining
nordstrom,BD,nordstrom
northwestern-mutual-life-insurance-company,F500,northwestern-mutual-life
nucor-corporation,F500,nucor-corporation
nvidia,BD,nvidia
nvr,F500,nvr
office-depot,F500,office-depot
old-republic-international-corporation,F500,old-republic-international-corporation
omnicom-group,F500,omnicom-group
oneok,BD,oneok
oracle,BD,oracle
owens-minor,F500,owens-minor
pacific-life,F500,pacific-life-corporation
parker-hannifin,BD,parker-hannifin
patterson-companies,BD,patterson-companies
peabody-energy-corporation,F500,peabody-energy
penske-automotive-group,F500,penske-automotive-group
pepsi,BD,pepsico
performance-food-group-company,F500,performance-food-group
petsmart,BD,petsmart
philip-morris,BD,philip-morris-international
pitney-bowes-inc,BD,pitney-bowes
pizza-hut,BD,pizza-hut
porsche,IB,porsche
ppl-corporation,F500,ppl-corporation
pvh-corp,F500,pvh
qualcomm,BD,qualcomm
quest-diagnostic,BD,quest-diagnostics
qvc,BD,qvc
rite-aid-corporation,F500,rite-aid
rockwell-automation,BD,rockwell-automation
rr-donnelley-and-sons-co,BD,rr-donnelley
ryder-system,F500,ryder-systems
safeway,BD,safeway
salesforce,BD,salesforce
sams-club,BD,sams-club
sanmina-corporation,F500,sanmina-corporation
santander,IB,santander-bank-2
seaboard-corporation,F500,seaboard-corporation
seagate,BD,seagate
sears-holdings-corporation,F500,sears-holdings-corporation
sempra-energy,F500,sempra-energy
siemens,IB,siemens-healthcare
spartannash-company,F500,spartannash
spectra-energy-corp,F500,spectra
spirit-aerosystems-holdings,F500,spirit-aerosystems
staples,BD,staples
state-farm-insurance-cos,F500,state-farm-insurance
stryker,BD,stryker
supervalu,BD,supervalu
symantec,BD,symantec
sysco,BD,sysco
target,BD,target
telephone-and-data-systems,F500,telephone-and-data-systems
tenet-healthcare-corp,BD,tenet-healthcare-corporation
teradata,BD,teradata
terex-corporation,F500,terex
tesoro-corporation,F500,tesoro-corporation
textron,F500,textron
the-home-depot,BD,the-home-depot-corporate
thermo-fisher-scientific,BD,thermo-fisher-scientific
thomson-reuters,BD,thomson-reuters
thrivent-financial-for-lutherans,F500,thrivent-financial
timberland,BD,timberland
time-warner-cable,BD,time-warner-cable
tractor-supply,BD,tractor-supply-company
travelcenters-of-america-llc,F500,travelcenters-of-america-llc
travelers,BD,travelers-insur
treehouse-foods,BD,treehouse-foods
trident,BD,trident-microsystems
tripadvisor,BD,tripadvisor
twitter,BD,twitter
tyson,BD,tyson-food
ulta-salon-cosmetics,BD,ulta-salon-cosmetics-fragrances
united-technologies,BD,united-technologies
unitedhealth,BD,unitedhealth-group
univar,F500,univar
universal-health-services,F500,universal-health-services
universal-music-group,BD,universal-music-group
upc,BD,upc-insurance
us-foods-holding-corp,F500,us-foods
veritiv-corp,F500,veritiv
vf-corporation,F500,vf-corporation
visteon-corporation,F500,visteon
vmware,BD,vmware
walmart,BD,walmart
wec-energy-group,F500,wec-energy-group
welltower-inc.,BD,welltower-inc
westrock-company,F500,westrock
whirlpool,BD,whirlpool
whole-foods,BD,whole-foods-market
williams,BD,williams-international
wipro,BD,wipro
world-fuel-services-corporation,F500,world-fuel
wrigleys,BD,wrigley
xpo-logistics,F500,xpo-logistics
yahoo,BD,yahoo-4
yoplait,BD,yoplait
youtube,BD,youtube
yum-brands,F500,yum-brands-inc
zimmer,BD,zimmer-holdings
colgate,BD,
disney,IB,
eaton,BD,
ebay,BD,
goldman-sachs,BD,
hilton,BD,
honda,IB,
hyundai,IB,
kia,IB,
masco,BD,
mckinsey,BD,
mosaic,F500,
motorola,BD,
mtv,BD,
nestle,IB,
paypal,BD,
phillips,IB,
prudential,BD,
purina,BD,
regions,BD,
sunoco,BD,
the-north-face,BD,
walgreens,BD,
walt-disney,BD,
wells-fargo,BD,
crown-holdings-inc,BD,
jetblue-airways-corporation,F500,
reinsurance-group-of-america,F500,
sealed-air-corporation,F500,
sonic-automotive,F500,
bacardi,BD,
bd,BD,
cadbury,BD,
camel,BD,
coach,BD,
7up,BD,
abc,BD,
abm,F500,
accenture,BD,
ace,BD,
actavis,BD,
acuvue,BD,
adidas,IB,
adobe,BD,
aecom-technology,BD,
agco-corporation,F500,
aig,BD,
ak-steel-holding-corporation,F500,
akamai-technologies,BD,
alaska-air-group,F500,
alcoa,BD,
alliance-data-systems-corp,BD,
allianz,IB,
allstate,BD,
ally-financial,F500,
altria-group,F500,
always,BD,
amark-precious-metals,F500,
ameren-corporation,F500,
american-airlines,BD,
american-express,BD,
american-family-insurance-group,F500,
ameriprise-financial,BD,
amgen,BD,
anixter-international,F500,
applied-materials,BD,
aramark,BD,
archerdanielsmidland-company,F500,
arthur-j-gallagher--co,F500,
asbury-automotive-group,F500,
assurant,F500,
att,BD,
audi,IB,
autoliv,F500,
automatic-data-processing,F500,
autonation,F500,
autoowners-insurance-group,F500,
autozone,BD,
aveeno,BD,
bank-of-america,BD,
bbt,BD,
bcg,BD,
becton-dickinson-and-company,F500,
bed-bath-and-beyond,BD,
best-buy,BD,
big-lots,F500,
black-and-decker,BD,
blackrock,BD,
bmw,IB,
boeing,BD,
bond-street,BD,
booking.com,BD,
booz-allen-hamilton-holding-corp,F500,
borgwarner-inc,BD,
budweiser,BD,
buick,BD,
burberry,IB,
burger-king,BD,
burlington-stores,F500,
c.h.-robinson,BD,
cameron-international-corporation,F500,
canon,IB,
capital-one,BD,
carefree,BD,
carmax,BD,
carrier,BD,
cartier,IB,
cbi,BD,
cbre,BD,
cbs,BD,
cdw-corporation,F500,
celanese-corporation,F500,
centene-corporation,BD,
cheetos,BD,
chesapeake-energy-corporation,F500,
chesterfield,BD,
chevron,BD,
chipotle-mexican,BD,
ciel,BD,
cinemark,BD,
citi,BD,
citizens,BD,
clinique,BD,
clorox,F500,
cme,BD,
cms-energy-corporation,F500,
coca-cola,BD,
cognizant,BD,
commercial-metals-company,F500,
community-health-systems,F500,
computer-sciences-corporation,F500,
conagra-foods,F500,
conocophillips,BD,
cons-edison-inc,BD,
constellation-brands,F500,
coors,BD,
copenhagen,BD,
coremark-holding-company,F500,
corona-extra,IB,
courtyard,BD,
cst-brands,F500,
cvs,BD,
d.r.-horton,BD,
dana-holding-corporation,F500,
danone,IB,
darden-restaurants,F500,
deere--company,F500,
delek-us-holdings,F500,
delta,BD,
devon,BD,
dhl,IB,
dicks-sporting,BD,
dillards,BD,
dior,IB,
discover,BD,
discovery-media,BD,
dish-networks,BD,
dollar-general,BD,
dominion,BD,
dominos-pizza,BD,
domtar-corporation,F500,
doritos-tortilla-chips,BD,
doubletree,BD,
dow,BD,
dr-horton,F500,
dr-pepper,BD,
du-pont,BD,
duke-energy,BD,
ecolab-inc,BD,
edison-international,BD,
electronic-arts,BD,
eli-lilly-and-company,F500,
emc-corporation,F500,
emc2,BD,
energy-transfer-equity,F500,
enfamil,BD,
enterprise,BD,
epp,BD,
erie-insurance-group,F500,
espn,BD,
essendant,F500,
esso,BD,
estee-lauder,BD,
eversource-energy,F500,
exelon,BD,
fannie-mae,F500,
fanta,BD,
farmers-insurance-exchange,F500,
fifth-third-bank,BD,
fis,BD,
florida-power-and-light,BD,
flowers-foods,BD,
fmc-technologies,F500,
folgers,BD,
food-4-less,BD,
foot-locker,BD,
fossil,BD,
fox,BD,
franklin-templeton-investments,BD,
frontier,BD,
gatorade,BD,
ge,BD,
geico,BD,
general-mills,BD,
general-motors,BD,
global-partners-lp,F500,
gmc,BD,
goodyear,BD,
group-1-automotive,F500,
guardian-life-ins-co-of-america,F500,
gucci,IB,
halliburton,BD,
hampton-inn,BD,
harley-davidson,BD,
harman-intl,BD,
harris-corp,BD,
hca-holdings,F500,
hcl-technologies,BD,
hd-supply,BD,
head-and-shoulders,BD,
health-net-inc,BD,
heineken,IB,
heinz,BD,
hermes,IB,
hersheys,BD,
hertz,BD,
hm,IB,
holiday-inn,BD,
host-hotels-and-resorts,BD,
hp,BD,
hp-enterprise,IB,
hsbc,IB,
huggies,BD,
humana-inc,BD,
huntington-ingalls-industries,F500,
huntsman-corporation,F500,
hyatt-regency,BD,
icahn-enterprises-lp,F500,
iheartmedia,F500,
ikea,IB,
illinois-tool-works,F500,
infosys,BD,
ingersoll-rand,BD,
ingredion-incorporated,F500,
invesco,BD,
itw,BD,
j.c-penney,BD,
jack-daniels,BD,
jb-hunt-transport-services,F500,
jc-penney-company,F500,
Jm-smucker,F500,
john-deere,BD,
john-hancock,BD,
johnnie-walker,IB,
johnsons,BD,
Jones-financial,F500,
jones-lang-lasalle-incorporated,F500,
jp-morgan,BD,
kelloggs,BD,
kenworth,BD,
keycorp,BD,
kfc,IB,
kimberlyclark-corporation,F500,
kinder-morgan,BD,
kindred-healthcare,F500,
kkr,F500,
kleenex,BD,
kohls,BD,
kroger,BD,
l-brands,F500,
l3-communications-holdings,F500,
laboratory-corp-of-america,BD,
land-olakes,F500,
landrover,IB,
las-vegas-sands,BD,
lawson-software,BD,
lays-potato-chips,BD,
le-petit-marseillais,BD,
lear-corporation,F500,
lee,BD,
lego,IB,
level-3,BD,
levis,BD,
liberty-mutual-holding-company,F500,
lifepoint-health,F500,
lilly,BD,
lincoln,BD,
linkedin,BD,
listerine,BD,
lkq-corporation,F500,
lm,BD,
loews-corporation,F500,
loreal,IB,
louis-vuitton,IB,
lyondellbasell,BD,
m.a.c.,BD,
macys,BD,
manpower-inc,BD,
markel-corporation,F500,
marlboro,BD,
massachusetts-mutual-life-insurance-company,F500,
mastercard,BD,
max-factor,BD,
maytag,BD,
mccormick,BD,
mckesson,BD,
medtronic,BD,
mercedes-benz,IB,
merck,BD,
michael-kors,BD,
micron-technology,BD,
microsoft,BD,
mini,IB,
mobil,BD,
moet,IB,
molina-healthcare,F500,
mondelez-international,F500,
monsanto-company,F500,
monster-beverage,BD,
morgan-stanley,BD,
mountain-dew,BD,
mt-bank,BD,
mutual-of-omaha-insurance-company,F500,
national-oilwell-varco,F500,
nationwide-mutual-insurance-co,F500,
nbc,BD,
nescafe,IB,
neutrogena,BD,
newell-brands,F500,
newport,BD,
news-corporation,F500,
nextera-energy,F500,
ngl-energy-partners-lp,F500,
nielsen,BD,
nike,BD,
nisource,F500,
nissan,IB,
norfolk,BD,
northrop-grumman-corporation,F500,
norwegian-cruise,BD,
nov,BD,
nrg-energy,BD,
occidental-petroleum-corporation,F500,
olay,BD,
old-navy,BD,
optumhealth,BD,
oral-b,BD,
oreilly-auto-parts,BD,
oshkosh-corporation,F500,
otis,BD,
owens-corning,F500,
owensillinois,F500,
oxy,BD,
p-and-g,BD,
paccar-inc,F500,
packaging-corporation-of-america,F500,
pampers,BD,
panasonic,IB,
panera-bread,BD,
pantene,BD,
paramount,BD,
parliament,BD,
pbf-energy,F500,
pedigree,BD,
peter-kiewit-sons,F500,
pfizer,BD,
pge,BD,
philadelphia-insurance-companies,BD,
plains-gp-holdings,F500,
pnc,BD,
polaris-inds,BD,
polo-ralph-lauren,BD,
ppg,BD,
prada,IB,
pratt-and-whitney,BD,
praxair,BD,
precision-castparts-corp,F500,
priceline.com,BD,
principal-financial-group,F500,
progressive,BD,
pseg,BD,
public-service-enterprise-group-incorporated,F500,
publix,BD,
pultegroup,F500,
quaker-foods-and-snacks,BD,
quanta-services-inc,BD,
quintiles-transnational-holdings,F500,
rackspace,BD,
ralph-lauren,IB,
ramada,BD,
raymond-james,BD,
raytheon,BD,
realogy-holdings-corp,F500,
reeses,BD,
reliance-steel-aluminum-co,F500,
republic-services,F500,
reynolds-american,F500,
ross-dress-for-less,BD,
royal-caribbean-cruises,BD,
sabre,BD,
samsung,IB,
sandisk,BD,
sands-cotai-central,BD,
sap,IB,
schlumberger,BD,
seiyu,BD,
sheraton,BD,
sherwin-williams,BD,
simon-property-group,BD,
sirius,BD,
skechers,BD,
skoal,BD,
smirnoff,IB,
snap-on-inc,BD,
sony,IB,
southern-company,BD,
southwest,BD,
sp-global,F500,
spectrum,BD,
sprint,BD,
sprite,BD,
st-jude-medical,BD,
stanley-black--decker,F500,
starbucks,BD,
starwood-hotels--resorts-worldwide,F500,
state-street,BD,
steel-dynamics,F500,
subway,BD,
sun-america,BD,
sundown,BD,
suntrust,BD,
synnex-corporation,F500,
t.j.-maxx,BD,
taco-bell,BD,
targa-resources-corp,F500,
tata-consultancy-services,BD,
teachers-insurance-and-annuity-association,F500,
tech-data,BD,
tech-mahindra,BD,
tenneco,F500,
tesla,IB,
tesla-motors,BD,
texas-instruments,BD,
the-bank-of-new-york-mellon,BD,
the-hartford,BD,
tide-ariel,BD,
tiffany-co,BD,
time-inc.,BD,
tjx,F500,
tommy-hilfiger,BD,
toyota,IB,
toys-r-us,BD,
tracfone,BD,
trinity-industries,F500,
tropicana-beverages,BD,
twentyfirst-century-fox,F500,
u.s.-bank,BD,
uber,BD,
ugi-corporation,F500,
under-armour,BD,
union-pacific,BD,
united,BD,
unum-group,F500,
ups,BD,
us-bancorp,F500,
valero,BD,
verizon,BD,
vi-com,F500,
victorias-secret,BD,
visa,BD,
volkswagen,IB,
voya-financial,F500,
warner-bros.,BD,
washington-post,BD,
waste-management,BD,
wellcare-health-plans,F500,
wesco-international,F500,
western--southern-mutual-holding-company,F500,
western-digital,BD,
western-refining,F500,
western-union,BD,
westin,BD,
weyerhaeuser,BD,
windstream,BD,
workday,BD,
wr-berkley-corporation,F500,
ww-grainger-inc,BD,
wyndham,BD,
wynn-resorts,BD,
xbox,BD,
xcel-energy-inc,BD,
xerox,BD,
xfinity,BD,
zara,IB,
